t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1433695802,7,41230,17670.000000,0,22038.362008,0.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695803,8,41230,20615.000000,0,22038.362008,20615.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695804,9,41230,22905.555556,0,21730.117988,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695805,10,41230,24738.000000,0,21291.080449,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695806,11,41230,26237.272727,0,20801.564889,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695807,12,41230,27486.666667,0,20300.248692,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695808,13,41230,28543.846154,0,19806.251344,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695809,14,41230,29450.000000,0,19328.922132,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695810,15,41230,30235.333333,0,18872.525710,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695811,16,41230,30922.500000,0,18438.616542,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695812,17,41230,31528.823529,0,18027.294543,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695813,18,41230,32067.777778,0,17637.890215,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695814,19,41230,32550.000000,0,17269.346639,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695815,20,41230,32984.000000,0,16920.434983,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695816,21,41230,33376.666667,0,16589.876230,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695817,22,41230,33733.636364,0,16276.409030,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695818,23,41230,34059.565217,0,15978.826182,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695819,24,41230,34358.333333,0,15695.992750,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695820,25,41230,34633.200000,0,15426.853406,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695821,26,41230,34886.923077,0,15170.433552,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695822,27,41230,35121.851852,0,14925.836927,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695823,28,41230,35340.000000,0,14692.241339,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695824,29,41230,35543.103448,0,14468.893507,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695825,30,41230,35732.666667,0,14255.103607,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695826,31,41230,35910.000000,0,14050.239856,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695827,32,41230,36076.250000,0,13853.723326,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
